311919759388192769	positive	Zum Glüch wurde der neue Papst heute gekürt %PosSmiley	zu Glüch werden die neu Papst heute küren %PosSmiley	APPRART NN VAFIN ART ADJA NN ADV VVPP ITJ	8/MO 1/NK 0/-- 6/NK 6/NK 3/SB 8/MO 3/OC 8/NK	case=dat|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=dat|gender=neut|num=sg|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True mood=ind|Target::markable_3::Anaphref=empty|Target::markable_3::Preferred=true|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True|pers=3|num=sg|tense=past case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
311905323038425088	positive	Neuer Papst ist gewählt .. Ich bin es nicht %PosSmiley	neu Papst sein wählen .. ich sein es nicht %PosSmiley	ADJA NN VAFIN VVPP NN PPER VAFIN PPER PTKNEG ITJ	22/NK 23/SB 20/-- 23/PD 24/OA 7/SB 5/-- 7/PD 7/NG 7/NK	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
311914765658255360	positive	Mal gespannt wer der neue Papst ist %PosSmiley	Mal spannen wer die neu Papst sein %PosSmiley	NN VVPP PWS ART ADJA NN VAFIN ITJ	12/MO 10/-- 17/SB 16/NK 16/NK 17/SB 12/PAR 17/NK	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::EmoExpression=True|pers=3|EmoExpression::markable_25::Intensity=medium|num=sg|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false
311799961165639680	neutral	Von uns kommen die nicht %PosSmiley Wenn ' s nervt , abschalten ! Papst Konklave	von wir kommen die nicht %PosSmiley wenn ' s nerven , abschalten ! Papst Konklave	APPR PPER VVFIN ART PTKNEG ITJ KOUS $( NN VVFIN $, VVINF $. NN NN	11/MO 9/NK 8/-- 18/NK 18/NG 18/DM 18/CP 15/-- 18/OA 11/SB 18/-- 18/CJ 20/-- 13/-- 14/NK	_ case=dat|*=True|num=pl|pers=1 pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl _ EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive _ _ _ EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=negative|EmoExpression::markable_27::Sarcasm=false _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311931250870996992	positive	GUT %PosSmiley ein bescheidener Mann Kardinal Bergoglio ist der neue Papst Franziskus	gut %PosSmiley eine bescheiden Mann Kardinal Bergoglio sein die neu Papst Franziskus	ADJD ITJ ART ADJA NN NN NE VAFIN ART ADJA NN NE	20/MO 20/NK 20/NK 20/NK 23/SB 22/PNC 20/NK 15/-- 26/NK 26/NK 23/SB 26/NK	EmoExpression::markable_104012649::EmoExpression=True|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Sarcasm=false|EmoExpression::markable_104012649::SubjectiveFact=false|pos=True|EmoExpression::markable_104012649::Uncertain=false|Sentiment::markable_30::Intensity=medium|EmoExpression::markable_104012649::Intensity=medium|EmoExpression::markable_104012649::Sarcasm=false|Sentiment::markable_30::Polarity=positive|EmoExpression::markable_104012649::Polarity=positive EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|Sentiment::markable_30::Sentiment=True|mood=ind|EmoExpression::markable_28::EmoExpression=True|pers=3|EmoExpression::markable_28::Intensity=medium|num=sg|tense=past|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::Uncertain=false case=nom|num=sg|Sentiment::markable_30::Sentiment=True|gender=masc|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Target::markable_31::Anaphref=empty case=nom|Target::markable_31::Target=True|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_32::EmoExpression=True|num=sg|EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311925424299057154	neutral	* ACHTUNG %PosSmiley Papst - erste Rede ! Der neue Papst tritt vor das Volk :	* Achtung %PosSmiley Papst - erst Rede ! die neu Papst treten vor die Volk :	XY NN ITJ NN $( ADJA NN $. ART ADJA NN VVFIN APPR ART NN $.	14/NK 19/CJ 16/NK 14/NK 16/-- 19/NK 12/-- 19/-- 11/NK 11/NK 12/SB 8/-- 12/MO 15/NK 13/NK 15/--	_ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _
311842500010733568	neutral	RUFT JETZT FÜR DEN PAPST AN ! 01379 ... Oder sende eine SMS mit " Konklave1 " an die 666 ... 6 ... %PosSmiley	rufen jetzt für die Papst an ! @card@ ... oder senden eine SMS mit " Konklave1 " an die @card@ ... 6 ... %PosSmiley	VVFIN ADV APPR ART NN PTKVZ $. CARD $. KON VVFIN ART NE APPR $( NE $( APPR ART CARD $. CARD $. ITJ	16/-- 17/MO 17/MO 21/NK 19/NK 17/SVP 22/-- 11/CJ 8/-- 11/JU 7/-- 13/NK 11/OA 11/MO 16/-- 14/NK 16/-- 11/MO 22/NK 22/NMC 20/-- 18/NK 22/-- 18/MO	_ _ _ *=True *=True _ _ _ _ _ pers=3|num=sg|tense=pres|mood=subj case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=dat|gender=fem|num=pl _ _ case=acc|gender=fem|num=sg _ _ _ _ _
311905369922338816	positive	WEISSER RAUCH ... Wir haben einen neuen Papst %PosSmiley %Link	weiß rauchen ... wir haben eine neu Papst %PosSmiley %Link	ADJA VVIMP $. PPER VAFIN ART ADJA NN ITJ XY	24/-- 25/NK 26/-- 5/SB 3/-- 8/NK 8/NK 5/OA 8/NK 8/NK	EmoExpression::markable_104012638::SubjectiveFact=true|EmoExpression::markable_104012638::EmoExpression=True|EmoExpression::markable_104012638::Uncertain=false|EmoExpression::markable_104012638::Polarity=positive|EmoExpression::markable_104012638::Sarcasm=false|EmoExpression::markable_104012638::Intensity=medium EmoExpression::markable_104012638::EmoExpression=True _ case=nom|Target::markable_34::Target=True|Sentiment::markable_33::Intensity=medium|*=True|pers=1|Sentiment::markable_33::Sentiment=True|num=pl|Target::markable_34::Anaphref=empty|Sentiment::markable_33::Sarcasm=false|Sentiment::markable_33::Polarity=positive|Target::markable_34::Preferred=true pers=1|Sentiment::markable_33::Sentiment=True|Target::markable_34::Target=True|num=pl|tense=pres|mood=ind case=acc|gender=masc|Target::markable_34::Target=True|num=sg|Sentiment::markable_33::Sentiment=True case=acc|Sentiment::markable_33::Sentiment=True|Target::markable_34::Target=True|num=sg|gender=masc|pos=True case=acc|gender=masc|Target::markable_34::Target=True|num=sg|Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _
311903559451037696	positive	Der neue Papst wird gleich vorgestellt ... Ich denke , er wird aus Mittel - Südamerika kommen ... mal schauen %PosSmiley	die neu Papst werden gleich vorstellen ... ich denken , er werden aus Mittel - Südamerika kommen ... mal schauen %PosSmiley	ART ADJA NN VAFIN ADJD VVPP $. PPER VVFIN $, PPER VAFIN APPR NN $( NE VVFIN $. ADV VVFIN ITJ	13/NK 13/NK 14/SB 10/-- 16/MO 14/OC 16/-- 9/SB 7/-- 9/-- 12/SB 9/OC 17/MO 13/NK 14/-- 14/NK 12/OC 17/-- 20/MO 18/-- 20/DM	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ _ _ pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
311923020463751168	positive	Auch im Büro verpassen wir den Papst nicht %PosSmiley MKBerlin	auch in Büro verpassen wir die Papst nicht %PosSmiley MKBerlin	ADV APPRART NN VVFIN PPER ART NN PTKNEG ITJ NN	23/MO 25/MO 23/NK 21/-- 25/SB 28/NK 25/OA 25/NG 31/NK 25/OA	_ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|EmoExpression::markable_37::Uncertain=false|gender=masc|EmoExpression::markable_37::Sarcasm=false|pos=True|EmoExpression::markable_37::EmoExpression=True|num=sg|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive case=acc|gender=masc|num=sg
311912376763043841	positive	Und aus welchem Land kommt er nun ? papst wer wagt eine Prognose ? %PosSmiley ich tippe auf : Scherer ...	und aus welche Land kommen er nun ? papst wer wagen eine Prognose ? %PosSmiley ich tippen auf : Scherer ...	KON APPR PRELS NN VVFIN PPER ADV $. ADJA PWS VVFIN ART NN $. ITJ PPER VVFIN PTKVZ $. NE $.	15/JU 15/MO 14/NK 12/NK 10/-- 15/SB 15/MO 17/-- 10/NK 11/SB 8/-- 13/NK 11/OA 13/-- 13/NK 17/SB 15/-- 17/SVP 18/-- 18/SB 20/--	_ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_38::Polarity=positive|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::SubjectiveFact=false|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=sg _
