378616125267144704	neutral	war es auch %PosSmiley eine der letzten gelben / grünen zucchinis , tomaten , karotten etc ...	sein es auch %PosSmiley eine die letzt gelb / grün zucchinis , tomaten , karotten etc. ...	VAFIN PPER ADV ITJ ART ART ADJA ADJA $( ADJA NN $, ADJD $, VVFIN ADV $.	0/-- 1/SB 1/MO 13/DM 13/OA 11/NK 11/NK 11/NK 8/-- 8/MO 5/AG 11/-- 1/PD 13/-- 1/CJ 15/MO 16/--	pers=3|num=sg|tense=past|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|*=True|EmoExpression::markable_1::Sarcasm=false|num=sg|EmoExpression::markable_1::Intensity=medium case=acc|gender=fem|num=sg case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl|pos=True _ _ _ case=nom|gender=neut|num=sg _ _ _ pers=3|num=pl|tense=past|mood=ind _ _
367763726625423361	neutral	Yes WEITER SO jusos %PosSmiley rt Pisepampell CDU - Wahlkampf - Start : Störfeuer der Jusos bringen Merkel aus dem Konzept	Yes weiter SO %User %PosSmiley rt %User CDU - Wahlkampf - Start : Störfeuer die Juso bringen Merkel aus die Konzept	VVFIN ADV NE NE ITJ VVFIN NE NE $( NN $( NN $. NN ART NN VVFIN NE APPR ART NN	27/MO 22/MO 25/PNC 26/NK 22/DM 21/-- 29/PNC 27/SB 29/-- 27/OA 31/-- 38/OA 33/-- 33/AG 37/NK 35/AG 31/PAR 38/SB 38/MO 42/NK 40/NK	_ _ case=nom|*=True|num=sg case=dat|*=True EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|pos=True|EmoExpression::markable_13::SubjectiveFact=false pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=dat|gender=fem|num=sg _ case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg _ case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl _ case=dat|*=True|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg
374236183460851712	negative	Heute wachen sie darüber , dass die AfD + nicht über 5%  kommt . %PosSmiley	heute wachen sie darüber , dass die AfD + nicht über @card@ kommen . %PosSmiley	ADV VVFIN PPER PAV $, KOUS ART NE KON PTKNEG APPR CARD VVFIN $. ITJ	23/MO 21/-- 23/SB 33/NK 24/-- 34/CP 29/NK 34/SB 34/MO 34/NG 34/MO 32/NK 23/MO 34/-- 14/NK	Sentiment::markable_100500184::Sentiment=True|Sentiment::markable_100500184::Sarcasm=false|Sentiment::markable_100500184::Polarity=negative|Sentiment::markable_100500184::Intensity=weak pers=3|Sentiment::markable_100500184::Sentiment=True|num=pl|tense=pres|mood=ind case=nom|pers=3|Source::markable_100500185::Source=True|num=pl|Sentiment::markable_100500184::Sentiment=True|Source::markable_100500185::Anaphref=empty|*=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_100500184::Sentiment=True case=nom|Target::markable_100500186::Anaphref=empty|num=sg|Target::markable_100500186::Preferred=true|Sentiment::markable_100500184::Sentiment=True|gender=fem|Target::markable_100500186::Target=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True pers=3|Sentiment::markable_100500184::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_100500184::Sentiment=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|Sentiment::markable_100500184::Sentiment=True|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
375514154033242113	positive	Das ging an mir vorbei . Wie lustig . %PosSmiley FDP	die gehen an ich vorbei . wie lustig . %PosSmiley FDP	PDS VVFIN APPR PPER PTKVZ $. KOUS ADJD $. ITJ NE	17/SB 15/-- 17/MO 18/NK 17/SVP 20/-- 8/MO 6/-- 8/-- 11/NK 9/--	case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Target::markable_18::Target=True|Target::markable_18::Anaphref=empty|gender=neut|num=sg|Sentiment::markable_15::Polarity=positive|Sentiment::markable_15::Sentiment=True|Target::markable_18::Preferred=true pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_15::Sentiment=True|Target::markable_18::Target=True Sentiment::markable_15::Sentiment=True|Target::markable_18::Target=True case=dat|pers=1|num=sg|Target::markable_18::Target=True|Sentiment::markable_15::Sentiment=True|*=True Sentiment::markable_15::Sentiment=True|Target::markable_18::Target=True Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|pos=True|EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_16::SubjectiveFact=false Sentiment::markable_15::Sentiment=True EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium case=nom|gender=fem|num=sg
345881462794489856	neutral	Linke Parteitag setzt bereits teile des Wahlprogramms um : verlängerte Arbeitspausen bei verkürzter Arbeitszeit ! %PosSmiley linkebpt	link Parteitag setzen bereits teilen die Wahlprogramm um : verlängert Arbeitspause bei verkürzt Arbeitszeit ! %PosSmiley linkebpt	ADJA NN VVFIN ADV VVFIN ART NN PTKVZ $. ADJA NN APPR ADJA NN $. ITJ ADJA	13/NK 14/SB 11/-- 14/MO 14/OC 18/NK 16/SB 16/SVP 19/-- 22/NK 18/APP 22/MNR 25/NK 23/NK 25/-- 19/NK 16/--	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=subj case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg _ _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive _
377807020440571904	neutral	ja , bei den Grünen haben seit geraumer Zeit die Kommos Oberwasser %NegSmiley niemals wählbar für echte Demok ...	ja , bei die Grüne haben seit geraum Zeit die Kommos Oberwasser %NegSmiley niemals wählbar für echt Demok ...	ADV $, APPR ART NN VAFIN APPR ADJA NN ART NE NN ITJ ADV ADJD APPR ADJA NN $.	23/DM 18/-- 23/MO 22/NK 20/NK 17/-- 23/MO 26/NK 24/NK 29/NK 29/AG 23/OA 29/NK 32/MO 23/MO 23/MO 35/NK 33/NK 35/--	_ _ _ case=dat|gender=masc|num=pl case=dat|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg case=acc|gender=masc|num=pl case=gen|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_20::Uncertain=false|gender=masc|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _ pos=True _ case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _
356423474308329473	neutral	Zum Thema von gerade hier nochmal ein Link zum Interview von Peer Steinbrück - das kann gerne geteilt werden %PosSmiley . ( as )	zu Thema von gerade hier nochmal eine Link zu Interview von Peer Steinbrück - die können gerne teilen werden %PosSmiley . ( as )	APPRART NN APPR ADV ADV ADV ART NE APPRART NN APPR NE NN $( PDS VMFIN ADV VVPP VAINF ITJ $. $( FM $(	35/MO 20/NK 21/PG 24/MO 22/NK 22/MO 27/NK 22/NK 21/MNR 28/NK 29/PG 32/PNC 30/NK 32/-- 35/SB 19/-- 35/MO 38/OC 35/OC 23/DM 38/-- 23/-- 21/-- 23/--	case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium _ _ _ _
374663215134687232	neutral	Mitmachen. gamescom Wahlkampf 2013  Videoclip von Saendralein mal für die Spättimeline %PosSmiley %Link Piraten +	Mitmachen. gamescom Wahlkampf @card@ Videoclip von %User mal für die Spättimeline %PosSmiley %Link Pirat +	NE NN NN CARD NN APPR NE ADV APPR ART NN ITJ XY NN KON	26/PNC 24/-- 26/NK 29/NK 26/CJ 29/PG 30/NK 33/MO 29/MNR 35/NK 33/NK 38/NK 24/-- 29/CJ 38/CD	case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive case=acc|gender=fem|num=pl|pos=True case=acc|gender=fem|num=pl _
384038326409252864	neutral	Steht noch jemand in der grünen Zone ? %PosSmiley	stehen noch jemand in die grün Zone ? %PosSmiley	VVFIN ADV PIS APPR ART ADJA NN $. ITJ	15/-- 16/MO 16/SB 16/MO 22/NK 22/NK 19/NK 22/-- 19/MO	pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
380427421943861249	neutral	Das Hauen und Stechen um die Posten Schattenkabinette werden gerne wie folgt ( ab - ) qualifiz %Link	die Hauen und Stechen um die Posten Schattenkabinette werden gerne wie folgen ( ab - ) qualifiz %Link	ART NN KON NN APPR ART NN NN VAFIN ADV KOUS VVFIN $( PTKVZ $( $( ADJA XY	11/NK 18/SB 11/CD 12/CJ 11/MNR 16/NK 14/NK 16/NK 9/-- 21/MO 21/MO 18/OC 21/-- 21/SVP 23/-- 24/-- 23/NK 23/NK	case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_100500314::Uncertain=true|gender=neut|EmoExpression::markable_100500314::Intensity=medium|EmoExpression::markable_100500314::Sarcasm=false|EmoExpression::markable_100500314::SubjectiveFact=false|EmoExpression::markable_100500314::Polarity=negative|num=sg|EmoExpression::markable_100500314::EmoExpression=True EmoExpression::markable_100500314::EmoExpression=True case=nom|gender=neut|num=sg|EmoExpression::markable_100500314::EmoExpression=True _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl case=nom|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ case=nom|*=True|num=pl|pos=True _
382202593746767872	negative	Was ist der Unterschied zwischen einem Smart und der FDP ? Der Smart hat wenigstens 2 Sitze %PosSmiley btw13	was sein die Unterschied zwischen eine smart und die FDP ? die smart haben wenigstens 2 Sitz %PosSmiley btw13	PIS VAFIN ART NN APPR ART ADJD KON ART NE $. ART ADJD VAFIN ADV CARD NN ITJ ADJA	20/SB 18/-- 22/NK 20/SB 22/MNR 25/NK 23/NK 25/CD 28/NK 26/CJ 28/-- 13/NK 14/SB 11/-- 16/MO 17/NK 19/AMS 17/NK 14/SB	case=nom|num=sg|Sentiment::markable_100500187::Sentiment=True|Sentiment::markable_100500187::Polarity=negative|Sentiment::markable_100500187::Sarcasm=false|gender=neut|Sentiment::markable_100500187::Intensity=weak pers=3|Sentiment::markable_100500187::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True Sentiment::markable_100500187::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True Sentiment::markable_100500187::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_100500187::Sentiment=True case=dat|Target::markable_100500188::Preferred=true|num=sg|Sentiment::markable_100500187::Sentiment=True|Target::markable_100500188::Anaphref=empty|gender=fem|Target::markable_100500188::Target=True Sentiment::markable_100500187::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True pers=3|Sentiment::markable_100500187::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_100500187::Sentiment=True Sentiment::markable_100500187::Sentiment=True case=gen|gender=masc|num=pl|Sentiment::markable_100500187::Sentiment=True EmoExpression::markable_24::Intensity=medium|Sentiment::markable_100500187::Sentiment=True|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false case=gen|gender=masc|num=pl|pos=True
353512837320146945	neutral	Auch an das traditionelle Piraten - Bällebad haben wir natürlich gedacht ! %PosSmiley tdot ltnrw 20 piraten ( is ) ...	auch an die traditionell Pirat - Bällebad haben wir natürlich denken|gedenken ! %PosSmiley tdot ltnrw 20 Pirat ( is ) ...	ADV APPR ART ADJA NN $( NN VAFIN PPER ADV VVPP $. ITJ NE NN CARD NN $( FM $( $.	21/MO 30/MO 24/NK 24/NK 21/NK 24/-- 24/NK 19/-- 27/SB 30/MO 27/OC 30/-- 30/NK 19/PNC 19/PNC 17/NK 13/-- 17/-- 13/-- 19/-- 20/--	_ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg _ case=acc|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _ EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false|EmoExpression::markable_25::EmoExpression=True case=nom|*=True|num=sg case=nom|*=True|num=sg _ gender=neut|*=True _ _ _ _
347070062726881280	neutral	%NegSmiley Volkmar Zschocke kandidiert im zweiten Wahlgang nicht mehr. %Link Chemnitz obmc	%NegSmiley Volkmar Zschocke kandidieren in zweit Wahlgang nicht mehr. %Link Chemnitz obmc	ITJ NE NE VVFIN APPRART ADJA NN PTKNEG ADJA XY NE NE	24/NK 24/PNC 25/SB 21/-- 25/MO 28/NK 26/NK 30/NG 25/CJ 30/NK 12/PNC 10/--	*=True|Sentiment::markable_27::Sentiment=True case=nom|Target::markable_28::Anaphref=empty|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Preferred=true|Target::markable_28::Target=True|*=True case=nom|*=True|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True pers=3|Sentiment::markable_27::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_28::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True case=dat|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True|gender=masc|pos=True case=dat|gender=masc|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True Target::markable_28::Target=True|Sentiment::markable_27::Sentiment=True case=dat|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True|gender=masc|pos=True case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg
360384519259435009	neutral	Die Auswirkungen des grössten Überwachungsskandals aller Zeiten auf die ( partei - ) politische Stimmung bleibt ......	die Auswirkung die groß Überwachungsskandals alle Zeit auf die ( Partei - ) politisch Stimmung bleiben ......	ART NN ART ADJA NN PIAT NN APPR ART $( NN $( $( ADJA NN VVFIN ADJA	14/NK 28/SB 17/NK 17/NK 14/AG 19/NK 17/AG 14/OP 23/NK 21/-- 20/NK 23/-- 24/-- 27/NK 28/SB 12/-- 28/MO	case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg|pos=True case=gen|gender=masc|num=sg case=gen|gender=masc|num=pl case=dat|gender=fem|num=pl _ case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg _ _ case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=pl|pos=True
370426233097834496	neutral	Filmreif . Mein Spot zur Bundestagswahl am 22.9 . %PosSmiley %Link	Filmreif . mein Spot zu Bundestagswahl an @card@ . %PosSmiley %Link	NN $. PPOSAT NN APPRART NN APPRART CARD $. ITJ XY	17/-- 18/-- 4/NK 10/NK 4/MNR 5/NK 6/MNR 7/NK 8/-- 11/NK 2/--	case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=masc|num=sg _ _ EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false _
375321214731821057	neutral	hau raus was du zu sagen hast . Werde erst zu Anne Will wieder zuschalten . Habe ja meinen Dunst schon abgelassen %PosSmiley BendlerBlogger	hauen raus was du zu sagen haben . werden erst zu Anne wollen wieder zuschalten . haben ja mein Dunst schon ablassen %PosSmiley %User	VVIMP PTKVZ PRELS PPER PTKZU VVINF VAFIN $. VAFIN ADV APPR NE VMFIN ADV VVINF $. VAFIN ADV PPOSAT NN ADV VVPP ITJ NE	18/PAR 12/SVP 17/OA 18/SB 17/PM 18/OC 11/-- 18/-- 8/-- 11/MO 13/MO 11/NK 9/SB 15/MO 13/OC 15/-- 16/-- 22/MO 20/NK 22/OA 22/MO 17/OC 24/NK 22/OA	_ _ case=acc|gender=neut|num=sg case=nom|*=True|num=sg|pers=2 _ _ pers=2|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=past|mood=subj _ _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=nom|gender=masc|pos=True|EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|num=sg|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false case=nom|gender=masc|num=sg
381715400712396801	neutral	PiratenHessen ! So , Piraten + gewählt und Umfrage vom ZDF für die Wahlprognose mitgemacht . %PosSmiley	PiratenHessen ! so , Pirat + gewählt und Umfrage von ZDF für die Wahlprognose mitmachen . %PosSmiley	NN $. ADV $, NN KON ADJD KON NN APPRART NE APPR ART NN VVPP $. ITJ	24/-- 25/-- 5/MO 3/-- 2/-- 8/UC 6/CJ 5/CD 8/CJ 9/MNR 10/NK 15/MO 14/NK 12/NK 5/OC 15/-- 16/NK	case=nom|gender=neut|num=sg _ _ _ case=nom|gender=masc|num=pl _ _ _ case=nom|gender=fem|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl _ _ EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|EmoExpression::markable_31::SubjectiveFact=false|EmoExpression::markable_31::Polarity=positive
373885917456388096	negative	wobei es sich in dem fall bei diesem [ justiziabel ] immerhin nicht um einen piraten handelt ... aber das hilft domi auch nicht %NegSmiley	wobei es sich in die fallen bei dies [ justiziabel ] immerhin nicht um eine Pirat handeln ... aber die helfen domi auch nicht %NegSmiley	PWAV PPER PRF APPR ART VVIMP APPR PDAT $( ADJD $( ADV PTKNEG APPR ART NN VVFIN $. KON PDS VVFIN NE ADV PTKNEG ITJ	34/MO 34/EP 34/OA 34/MO 21/NK 34/MO 34/MO 27/NK 25/-- 24/NK 27/-- 34/MO 34/NG 34/OP 33/NK 31/NK 17/-- 34/-- 21/JU 21/SB 18/-- 21/DA 21/MO 21/NG 21/DM	_ case=nom|gender=neut|num=sg|pers=3 case=acc|pers=3|num=sg _ case=dat|gender=neut|num=sg _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pos=True _ _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ Target::markable_34::Target=True|Sentiment::markable_32::Sarcasm=false|Sentiment::markable_32::Intensity=medium|Target::markable_34::Anaphref=empty|Sentiment::markable_32::Sentiment=True|Sentiment::markable_32::Polarity=negative|Target::markable_34::Preferred=true case=nom|gender=neut|Sentiment::markable_32::Sentiment=True|num=sg|Target::markable_34::Target=True pers=3|Target::markable_34::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_32::Sentiment=True case=acc|*=True|Sentiment::markable_32::Sentiment=True|num=sg|Target::markable_34::Target=True Sentiment::markable_32::Sentiment=True|Target::markable_34::Target=True Sentiment::markable_32::Sentiment=True|Target::markable_34::Target=True EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=negative|Sentiment::markable_32::Sentiment=True|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false
380670168109572096	neutral	Wie antwortet man als türkischstämmiger Deutscher auf einen NPD - Brief ? Zum Beispiel so ... %PosSmiley via SZ Magazin	wie antworten man als türkischstämmiger Deutsche auf eine NPD - Brief ? zu Beispiel so ... %PosSmiley via SZ Magazin	KOKOM VVFIN PIS KOKOM ADJA NN APPR ART NE $( NN $. APPRART NN ADV $. ITJ APPR NE NN	27/MO 25/-- 27/SB 27/MO 31/NK 29/NK 27/OP 36/NK 36/NK 34/-- 32/NK 36/-- 12/-- 13/NK 13/MO 15/-- 15/DM 17/-- 20/AG 18/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _ case=gen|*=True|num=sg case=nom|gender=neut|num=sg
377399481471234048	positive	dann bin ich mal gespannt wieviele wieder ARDde und ZDF verwechseln . Lustiges , tägliches Schauspiel bei Twitter %PosSmiley	dann sein ich mal spannen wieviele wieder %User und %User verwechseln . lustig , täglich Schauspiel bei Twitter %PosSmiley	ADV VAFIN PPER ADV VVPP PWS ADV NE KON NE VVINF $. ADJA $, ADJA NN APPR NN ITJ	25/MO 20/-- 22/SB 25/MO 22/PD 31/OA 31/MO 31/OA 28/CD 29/CJ 22/SB 31/-- 16/NK 13/-- 13/CJ 12/-- 16/MNR 17/NK 18/NK	_ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ pos=True case=nom|gender=masc|num=pl _ case=nom|*=True|num=sg _ case=nom|*=True|num=sg mood=ind|EmoExpression::markable_100500315::Uncertain=true|EmoExpression::markable_100500315::Intensity=medium|EmoExpression::markable_100500315::EmoExpression=True|pers=3|EmoExpression::markable_100500315::Polarity=positive|num=pl|tense=pres|EmoExpression::markable_100500315::Sarcasm=false|EmoExpression::markable_100500315::SubjectiveFact=false _ case=nom|Sentiment::markable_36::Sarcasm=false|EmoExpression::markable_37::Uncertain=false|gender=neut|Sentiment::markable_36::Intensity=medium|pos=True|EmoExpression::markable_37::EmoExpression=True|num=sg|Sentiment::markable_36::Polarity=positive|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::Polarity=positive|Sentiment::markable_36::Sentiment=True Sentiment::markable_36::Sentiment=True case=nom|gender=neut|num=sg|pos=True|Sentiment::markable_36::Sentiment=True case=nom|Target::markable_38::Anaphref=empty|num=sg|Target::markable_38::Preferred=true|Sentiment::markable_36::Sentiment=True|gender=neut|Target::markable_38::Target=True Sentiment::markable_36::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_36::Sentiment=True case=dat|EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|gender=fem|EmoExpression::markable_39::Polarity=positive|num=sg|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|Sentiment::markable_36::Sentiment=True|EmoExpression::markable_39::Intensity=medium
