319780665581264897	negative	JETZT geb ich Player 6 den Todesstoß . Lange genug hat er sich gewehrt :)	jetzt geb ich Player 6 die Todesstoß . lange genug haben er sich wehren :)	ADV VVFIN PPER NN CARD ART NN $. ADV ADV VAFIN PPER PRF VVPP ADJA	2/MO 0/-- 2/SB 2/SB 2/MO 7/NK 2/OA 7/-- 10/MO 14/MO 8/-- 11/SB 14/OA 11/OC 14/MO	Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative Sentiment::markable_1::Sentiment=True case=nom|pers=1|num=sg|Source::markable_3::Anaphref=empty|*=True|Source::markable_3::Source=True|Sentiment::markable_1::Sentiment=True mood=ind|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|tense=past|Target::markable_2::Anaphref=empty|Target::markable_2::Preferred=true|Target::markable_2::Target=True Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True case=acc|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Uncertain=false|gender=masc|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=negative|Sentiment::markable_1::Sentiment=True|num=sg|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|pers=3|num=sg _ case=gen|EmoExpression::markable_5::Intensity=medium|gender=masc|EmoExpression::markable_5::EmoExpression=True|pos=True|EmoExpression::markable_5::Uncertain=false|num=pl|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive
326381569679953921	positive	@next_85 Awwwwww , ich hab mehrere Yodas :-)	@next_85 Awwwwww , ich haben mehrere Yodas :-)	CARD NN $, PPER VAIMP PIAT NN $(	28/-- 1/-- 2/-- 2/CJ 4/NK 7/NK 4/CJ 7/--	_ case=nom|EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|Sentiment::markable_44::Sarcasm=false|gender=masc|Sentiment::markable_44::Polarity=positive|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Uncertain=false|num=sg|Sentiment::markable_44::Intensity=medium|EmoExpression::markable_47::Intensity=medium|Sentiment::markable_44::Sentiment=True Sentiment::markable_44::Sentiment=True case=nom|Target::markable_45::Preferred=true|*=True|Target::markable_45::Anaphref=empty|pers=1|num=sg|Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True case=acc|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_44::Sentiment=True case=acc|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_44::Sentiment=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive|Sentiment::markable_44::Sentiment=True
325214398916472832	neutral	RT @da_frei : @treimannch da hätte ich tonnenweise - nur grad keine gelegenheit :-) #nutzlosesuperkräfte	RT @da_frei : @treimannch da haben ich tonnenweise - nur grad keine gelegenheit :-) #nutzlosesuperkräfte	NE ADJD $. NN ADV VAFIN PPER ADJD $( ADV ADJD PIAT ADJA $( NN	8/-- 9/PD 10/-- 3/-- 6/MO 4/-- 6/SB 6/OA 8/-- 11/MO 12/MO 15/NK 15/NK 13/-- 8/PAR	case=nom|*=True|num=sg pos=True _ case=nom|gender=neut|num=sg _ pers=1|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 _ _ _ pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|gender=fem|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::Intensity=medium|EmoExpression::markable_48::SubjectiveFact=false|num=sg|EmoExpression::markable_48::EmoExpression=True case=nom|gender=fem|num=sg
328947846684483585	positive	@Aimar_HH ja , die medienwelt ist wieder in Ordnung :-)	@Aimar_HH ja , die Medienwelt sein wieder in Ordnung :-)	NN ADV $, ART NN VAFIN ADV APPR NN $(	15/-- 6/MO 2/-- 5/NK 6/SB 1/-- 6/MO 6/MO 8/NK 9/--	case=nom|gender=masc|num=sg Sentiment::markable_49::Intensity=medium|Sentiment::markable_49::Sentiment=True|Sentiment::markable_49::Polarity=positive|Sentiment::markable_49::Sarcasm=false Sentiment::markable_49::Sentiment=True case=nom|num=sg|Target::markable_51::Target=True|gender=fem|Target::markable_51::Preferred=true|Sentiment::markable_49::Sentiment=True|Target::markable_51::Anaphref=empty case=nom|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True pers=3|Sentiment::markable_49::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_49::Sentiment=True EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false|Sentiment::markable_49::Sentiment=True case=dat|gender=fem|num=sg|EmoExpression::markable_52::EmoExpression=True|Sentiment::markable_49::Sentiment=True EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|Sentiment::markable_49::Sentiment=True
320835355953741824	neutral	@CampOnTours piero @ lori : chönnder schnäll hinter dem vo hangover stah ? ich möcht ihn fötele ... ;-)	@CampOnTours Piero @ lori : chönnder schnäll hinter die vo hangover stah ? ich möcht er fötele ... ;-)	NN NE XY VVFIN $. ADJD VVFIN APPR ART NE VVFIN NE $. PPER VVFIN PPER NN $. $(	10/-- 4/SB 1/-- 1/-- 4/-- 7/MO 4/CJ 11/MO 10/NK 8/NK 7/OC 11/OA 12/-- 15/SB 13/-- 15/OA 15/OA 17/-- 18/--	_ _ _ pers=3|num=sg|tense=past|mood=ind _ _ pers=3|num=sg|tense=past|mood=ind _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ pos=True _ case=nom|*=True|num=sg|pers=1 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 case=acc|gender=masc|num=pl _ EmoExpression::markable_53::Sarcasm=false|EmoExpression::markable_53::EmoExpression=True|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Polarity=positive
328220056083365888	negative	@xo_Yassi__ ach passt ihr jetzt auf mich auf oder was ??? xD das will ich nicht xD und vor allem die zweite woche sind wir eh alleine xD :* ❤	@xo_Yassi__ ach passen ihr jetzt auf ich auf oder was ??? xD die wollen ich nicht xD und vor alle die zweit Woche sein wir eh alleine xD :* ❤	NN ITJ VVFIN PPER ADV APPR PRF PTKVZ KON PWS ADJD ADJD PDS VMFIN PPER PTKNEG ADJD KON APPR PIS ART ADJA NN VAFIN PPER ADV ADV ADJA NN NE	19/-- 3/DM 1/-- 3/DA 3/MO 3/MO 6/NK 3/SVP 8/CD 11/OA 9/CJ 13/MO 14/OA 11/-- 14/SB 14/NG 24/PD 17/CD 23/MO 19/NK 23/NK 23/NK 18/CJ 14/OC 24/SB 24/MO 24/MO 29/NK 24/SB 29/AG	case=nom|gender=masc|num=sg _ pers=2|num=pl|tense=pres|mood=ind|Target::markable_63::Target=True|Target::markable_63::Anaphref=empty|Target::markable_63::Preferred=true case=dat|gender=fem|num=sg|Target::markable_63::Target=True|pers=3 Target::markable_63::Target=True Target::markable_63::Target=True case=acc|*=True|num=sg|Target::markable_63::Target=True|pers=1 Target::markable_63::Target=True _ case=nom|gender=neut|num=sg _ EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|EmoExpression::markable_54::Polarity=positive|pos=True|EmoExpression::markable_54::Intensity=medium|EmoExpression::markable_54::Sarcasm=false case=acc|gender=neut|Target::markable_59::Preferred=true|Sentiment::markable_58::Sarcasm=false|Sentiment::markable_58::Sentiment=True|num=sg|Sentiment::markable_58::Polarity=negative|Target::markable_59::Anaphref=markable_63|Target::markable_59::Target=True|Sentiment::markable_58::Intensity=medium EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::Sarcasm=false|EmoExpression::markable_61::SubjectiveFact=false|mood=ind|EmoExpression::markable_61::Intensity=medium|pers=1|Sentiment::markable_58::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True case=nom|pers=1|Sentiment::markable_58::Sentiment=True|num=sg|Source::markable_60::Source=True|Source::markable_60::Anaphref=empty|*=True Negation::markable_62::EmoExpressionRef=empty|Sentiment::markable_58::Sentiment=True|Negation::markable_62::Negation=True EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Sarcasm=false|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false|pos=True|EmoExpression::markable_100500213::Intensity=medium|Sentiment::markable_58::Sentiment=True|EmoExpression::markable_100500213::Polarity=positive _ _ case=dat|gender=neut|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ case=acc|EmoExpression::markable_55::EmoExpression=True|gender=neut|EmoExpression::markable_55::SubjectiveFact=false|pos=True|EmoExpression::markable_55::Polarity=positive|num=pl|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Sarcasm=false case=acc|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|gender=neut|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Sarcasm=false|EmoExpression::markable_56::SubjectiveFact=false|num=pl|EmoExpression::markable_56::Uncertain=false case=nom|EmoExpression::markable_57::SubjectiveFact=false|gender=neut|EmoExpression::markable_57::Polarity=positive|EmoExpression::markable_57::Uncertain=false|num=sg|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::EmoExpression=True
328184575765393408	neutral	@iFlobole @MaaaaxMax hast die entsprechende App nicht drauf ;-)	@iFlobole @MaaaaxMax haben die entsprechend App nicht drauf ;-)	ADJA NN VAFIN ART ADJA NN PTKNEG PAV $(	30/-- 1/-- 2/-- 6/NK 6/NK 3/SB 3/NG 3/NK 3/--	_ case=nom|gender=masc|num=sg pers=2|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ EmoExpression::markable_64::Intensity=medium|EmoExpression::markable_64::Sarcasm=false|EmoExpression::markable_64::SubjectiveFact=false|EmoExpression::markable_64::Polarity=positive|EmoExpression::markable_64::EmoExpression=True|EmoExpression::markable_64::Uncertain=false
325975421726375936	positive	@ErwinKintop_ ich bin selber traurich und ich habe 5 stunden nur geheult wegen dir :(((	@ErwinKintop_ ich sein selber traurich und ich haben 5 stunden nur heulen wegen du :(((	NN PPER VAFIN ADV VVFIN KON PPER VAFIN CARD VVFIN ADV VVPP APPR PPER ADJA	9/-- 3/SB 1/-- 3/MO 3/PD 3/CD 8/SB 6/CJ 10/MO 8/OC 12/MO 10/MO 12/MO 13/NK 14/NK	case=nom|gender=neut|num=sg case=nom|Source::markable_69::Anaphref=empty|Sentiment::markable_65::Intensity=medium|Sentiment::markable_65::Sentiment=True|Sentiment::markable_65::Polarity=positive|Sentiment::markable_65::Sarcasm=false|*=True|pers=1|num=sg|Source::markable_69::Source=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True EmoExpression::markable_68::Sarcasm=false|Sentiment::markable_65::Sentiment=True|pos=True|EmoExpression::markable_68::Intensity=medium|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false Sentiment::markable_65::Sentiment=True case=nom|pers=1|num=sg|Sentiment::markable_65::Sentiment=True|Source::markable_100500214::Source=True|*=True|Source::markable_100500214::Anaphref=empty pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True pers=3|num=pl|tense=past|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True EmoExpression::markable_70::SubjectiveFact=false|EmoExpression::markable_70::Intensity=strong|EmoExpression::markable_70::EmoExpression=True|EmoExpression::markable_70::Polarity=positive|Sentiment::markable_65::Sentiment=True|EmoExpression::markable_70::Uncertain=false|EmoExpression::markable_70::Sarcasm=false Sentiment::markable_65::Sentiment=True num=sg|Sentiment::markable_65::Sentiment=True|Target::markable_66::Anaphref=empty|Target::markable_66::Preferred=true|gender=fem|*=True|Target::markable_66::Target=True Sentiment::markable_65::Sentiment=True|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::SubjectiveFact=false|gender=fem|*=True|EmoExpression::markable_67::EmoExpression=True|pos=True|num=sg|EmoExpression::markable_67::Polarity=negative|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::Intensity=medium
328191002076663808	positive	Ich hab die Partei grad mal wieder sehr gern :)	ich haben die Partei grad mal wieder sehr gern :)	PPER VAIMP ART NN VVFIN ADV ADV ADV ADV ADJD	20/SB 16/NK 19/NK 17/NK 15/-- 20/MO 20/MO 24/MO 20/MO 20/MO	case=nom|Sentiment::markable_71::Polarity=positive|Source::markable_72::Anaphref=empty|Sentiment::markable_71::Sarcasm=false|*=True|pers=1|num=sg|Sentiment::markable_71::Intensity=medium|Source::markable_72::Source=True|Sentiment::markable_71::Sentiment=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_71::Sentiment=True case=acc|num=sg|Target::markable_75::Preferred=true|Target::markable_75::Target=True|gender=fem|Target::markable_75::Anaphref=empty|Sentiment::markable_71::Sentiment=True case=acc|gender=fem|Target::markable_75::Target=True|num=sg|Sentiment::markable_71::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True Intensifier::markable_76::EmoExpressionRef=emo-expression:markable_73|Intensifier::markable_76::Degree=medium|Intensifier::markable_76::Intensifier=True|Sentiment::markable_71::Sentiment=True EmoExpression::markable_73::EmoExpression=True|EmoExpression::markable_73::Uncertain=false|EmoExpression::markable_73::Intensity=medium|EmoExpression::markable_73::Sarcasm=false|EmoExpression::markable_73::SubjectiveFact=false|EmoExpression::markable_73::Polarity=positive|Sentiment::markable_71::Sentiment=True EmoExpression::markable_74::EmoExpression=True|EmoExpression::markable_74::Uncertain=false|EmoExpression::markable_74::Intensity=medium|EmoExpression::markable_74::Polarity=positive|EmoExpression::markable_74::Sarcasm=false|pos=True|EmoExpression::markable_74::SubjectiveFact=false|Sentiment::markable_71::Sentiment=True
323541138080411648	negative	@paaarmis benachrichtigungen bei whats app fi ** en mich aber ab :-)	@paaarmis Benachrichtigung bei whats app fi ** en ich aber ab :-)	NN NN APPR NN ADJA ADJA NN FM PRF ADV PTKVZ $(	10/-- 5/MO 2/MNR 3/NK 1/-- 7/NK 5/CC 7/AG 8/NK 5/MO 5/SVP 11/--	_ Sentiment::markable_77::Sentiment=True|mood=ind|Target::markable_78::Target=True|Sentiment::markable_77::Polarity=negative|pers=3|num=pl|tense=pres|Target::markable_78::Preferred=true|Sentiment::markable_77::Intensity=strong|Sentiment::markable_77::Sarcasm=false|Target::markable_78::Anaphref=empty Sentiment::markable_77::Sentiment=True|Target::markable_78::Target=True case=dat|gender=masc|Target::markable_78::Target=True|num=pl|Sentiment::markable_77::Sentiment=True case=dat|Sentiment::markable_77::Sentiment=True|num=pl|gender=masc|Target::markable_78::Target=True|pos=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::Polarity=negative|EmoExpression::markable_79::Uncertain=false|EmoExpression::markable_79::Intensity=strong|EmoExpression::markable_79::EmoExpression=True|EmoExpression::markable_79::SubjectiveFact=false|EmoExpression::markable_79::Sarcasm=false case=dat|gender=masc|num=pl|EmoExpression::markable_79::EmoExpression=True|Sentiment::markable_77::Sentiment=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::EmoExpression=True case=acc|pers=1|num=sg|Source::markable_100500215::Source=True|Sentiment::markable_77::Sentiment=True|Source::markable_100500215::Anaphref=empty Sentiment::markable_77::Sentiment=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::EmoExpression=True EmoExpression::markable_80::Uncertain=false|EmoExpression::markable_80::Intensity=medium|EmoExpression::markable_80::Sarcasm=false|EmoExpression::markable_80::SubjectiveFact=false|Sentiment::markable_77::Sentiment=True|EmoExpression::markable_80::EmoExpression=True|EmoExpression::markable_80::Polarity=positive
321626017309544448	neutral	Hallöchen mein erstes kurzvideo und schreibt in den kommentaren was für videos ich machen soll :) http://t.co/MDJr5AMWCY	Hallöchen mein erst kurzvideo und schreiben in die Kommentar was für Video ich machen sollen :) http://t.co/MDJr5AMWCY	NN PPOSAT ADJA NN KON VVFIN APPR ART NN PIS APPR NN PPER VVINF VMFIN ADJA NN	12/-- 16/NK 16/NK 13/SB 16/CD 17/CJ 18/MO 21/NK 19/NK 26/OA 22/MNR 23/NK 27/SB 27/OC 18/OC 29/NK 16/CJ	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl gender=neut|*=True _ case=acc|gender=neut|num=pl case=nom|*=True|num=sg|pers=1 _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Uncertain=false|EmoExpression::markable_81::Sarcasm=false case=dat|gender=neut|num=pl
324495631651594241	positive	Und dann lande ausgerechnet ich bei einem Paper über optische Computer und so . Irgendwie lustig :)	und dann landen ausgerechnet ich bei eine Paper über optisch Computer und so . irgendwie lustig :)	KON ADV VVFIN ADJD PPER APPR ART NN APPR ADJA NN KON ADV $. ADV ADJD ADJD	20/JU 20/MO 17/-- 28/MO 20/SB 20/MO 25/NK 23/NK 25/MNR 28/NK 26/NK 23/CD 29/CJ 30/-- 16/MO 17/MO 14/--	Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|Sentiment::markable_82::Sarcasm=false|Target::markable_83::Anaphref=empty|Sentiment::markable_82::Polarity=positive|Target::markable_83::Preferred=true|Sentiment::markable_82::Intensity=medium Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=nom|pers=1|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|*=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=acc|num=pl|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|gender=masc|pos=True case=acc|gender=masc|num=pl|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True EmoExpression::markable_84::Sarcasm=false|EmoExpression::markable_84::EmoExpression=True|EmoExpression::markable_84::Uncertain=false|EmoExpression::markable_84::Intensity=medium|EmoExpression::markable_84::Polarity=positive|pos=True|Sentiment::markable_82::Sentiment=True|EmoExpression::markable_84::SubjectiveFact=false pos=True|EmoExpression::markable_85::EmoExpression=True|EmoExpression::markable_85::Uncertain=false|EmoExpression::markable_85::Intensity=medium|Sentiment::markable_82::Sentiment=True|EmoExpression::markable_85::SubjectiveFact=false|EmoExpression::markable_85::Polarity=positive|EmoExpression::markable_85::Sarcasm=false
323452872828260354	neutral	@ziromr Auf dem Mond leben nur Nazis und keine Piraten ;-)	@ziromr auf die Mond leben nur Nazi und keine Pirat ;-)	NN APPR ART NN VVFIN ADV NN KON PIAT NN $(	17/-- 5/MO 4/NK 2/NK 1/-- 7/MO 5/SB 7/CD 10/NK 8/CJ 10/--	case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind _ case=nom|EmoExpression::markable_100500216::Sarcasm=false|EmoExpression::markable_100500216::EmoExpression=True|EmoExpression::markable_100500216::SubjectiveFact=false|gender=masc|EmoExpression::markable_100500216::Polarity=negative|num=pl|EmoExpression::markable_100500216::Uncertain=false|EmoExpression::markable_100500216::Intensity=medium _ case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl EmoExpression::markable_86::Sarcasm=false|EmoExpression::markable_86::Uncertain=false|EmoExpression::markable_86::Intensity=medium|EmoExpression::markable_86::Polarity=positive|EmoExpression::markable_86::EmoExpression=True|EmoExpression::markable_86::SubjectiveFact=false
320918467555508225	positive	Bin total ausgepowert , habe endlich was für meine Figur getan :) Und jetzt ein Eis ;)	sein total auspowern , haben endlich was für mein Figur tun :) und jetzt eine Eis ;)	VAFIN ADJD VVPP $, VAFIN ADV PIS APPR PPOSAT NN VVPP ADJD KON ADV ART NN ADJD	14/MO 14/MO 16/SB 14/-- 11/-- 22/MO 22/OA 22/MO 21/NK 19/NK 16/OC 22/MO 23/CD 28/MO 27/NK 28/AMS 24/CJ	Sentiment::markable_87::Sarcasm=false|Sentiment::markable_87::Intensity=medium|Target::markable_88::Anaphref=empty|Target::markable_88::Preferred=true|Sentiment::markable_87::Sentiment=True|Sentiment::markable_87::Polarity=positive|Target::markable_88::Target=True Intensifier::markable_100500218::Degree=medium|Sentiment::markable_87::Sentiment=True|Target::markable_88::Target=True|pos=True|Intensifier::markable_100500218::EmoExpressionRef=emo-expression:markable_100500217|Intensifier::markable_100500218::Intensifier=True EmoExpression::markable_100500217::Intensity=medium|EmoExpression::markable_100500217::EmoExpression=True|EmoExpression::markable_100500217::Sarcasm=false|EmoExpression::markable_100500217::Polarity=negative|EmoExpression::markable_100500217::SubjectiveFact=false|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_100500217::Uncertain=true|Target::markable_88::Target=True Sentiment::markable_87::Sentiment=True mood=subj|Target::markable_89::Anaphref=empty|Target::markable_89::Preferred=true|pers=3|Target::markable_89::Target=True|num=sg|tense=pres|Sentiment::markable_87::Sentiment=True EmoExpression::markable_100500219::SubjectiveFact=false|Target::markable_89::Target=True|EmoExpression::markable_100500219::Uncertain=false|EmoExpression::markable_100500219::Intensity=medium|EmoExpression::markable_100500219::Sarcasm=false|EmoExpression::markable_100500219::Polarity=positive|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_100500219::EmoExpression=True case=acc|gender=neut|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True Target::markable_89::Target=True|Sentiment::markable_87::Sentiment=True case=acc|gender=fem|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True case=acc|gender=fem|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True Target::markable_89::Target=True|Sentiment::markable_87::Sentiment=True EmoExpression::markable_90::EmoExpression=True|pos=True|EmoExpression::markable_90::Intensity=medium|EmoExpression::markable_90::SubjectiveFact=false|EmoExpression::markable_90::Uncertain=false|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_90::Polarity=positive|EmoExpression::markable_90::Sarcasm=false Sentiment::markable_91::Polarity=positive|Sentiment::markable_91::Intensity=medium|Sentiment::markable_91::Sarcasm=false|Sentiment::markable_91::Sentiment=True Sentiment::markable_91::Sentiment=True case=acc|num=sg|Sentiment::markable_91::Sentiment=True|Target::markable_92::Preferred=true|gender=neut|Target::markable_92::Target=True|Target::markable_92::Anaphref=empty case=acc|gender=neut|Target::markable_92::Target=True|num=sg|Sentiment::markable_91::Sentiment=True EmoExpression::markable_93::Uncertain=false|EmoExpression::markable_93::Intensity=medium|EmoExpression::markable_93::Sarcasm=false|Sentiment::markable_91::Sentiment=True|EmoExpression::markable_93::EmoExpression=True|EmoExpression::markable_93::Polarity=positive|EmoExpression::markable_93::SubjectiveFact=false
328114711679881216	neutral	@wildhorses66 Ich hab die Daily News von vorgestern für dich :)	@wildhorses66 ich haben die Daily News von vorgestern für du :)	NN PPER VAIMP ART NE NN APPR ADV APPR PPER ADJA	17/-- 11/SB 2/NK 6/NK 6/NK 2/APP 6/MNR 7/NK 2/MO 9/NK 1/--	case=nom|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg *=True *=True _ _ _ case=acc|*=True|num=sg|pers=2 case=acc|EmoExpression::markable_94::EmoExpression=True|EmoExpression::markable_94::Polarity=positive|gender=neut|pos=True|EmoExpression::markable_94::Intensity=medium|num=pl|EmoExpression::markable_94::Sarcasm=false|EmoExpression::markable_94::SubjectiveFact=false|EmoExpression::markable_94::Uncertain=false
